ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC
ENTER-org/apache/hadoop/hbase/zookeeper/ZKUtil$isSecureZooKeeper,66668,0,712,39,19,3335311360,51374,140735533354528,139742463623496,1,130,12508176,39433,0,106496,0,1.85283e+11,4.76498e+09,1.69629e+08,2.58012e+11,4.93461e+09,3.12732e+10,1.62349e+08,1.02017e+06,1.32964e+10,8.52316e+08,1.06446e+11,1.37207e+11,-1.25816e+11,1.30751e+11,1.17623e+06,3.01926e+11,3.70355e+11,1.60488e+11,6.67775e+10,2.83029e+11,5.28679e+12,3.12487e+12,2.80378e+09,1.10002e+12,5.71474e+11,6.09805e+11,3.0277e+09,1.81411e+12,4.51951e+12,1.9503e+12,2.13559e+12,2.43653e+11,1.06446e+11,1.37207e+11,3.99878e+12,4.98252e+10,4.0216e+12,4.99948e+10,3.05553e+11,6.15719e+12,3.10488e+11,1.56441e+11,1.37207e+11,1.64514e+09,9.0559e+08,2.80378e+09,2.80378e+09,2.80378e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZKUtil$isSecureZooKeeper,66668,0,712,39,19,3335311360,51374,140735533354528,139742463623496,1,130,12509429,39433,0,106496,0,1.85347e+11,4.76663e+09,1.69687e+08,2.58102e+11,4.93632e+09,3.1284e+10,1.62405e+08,1.02052e+06,1.3301e+10,8.52611e+08,1.06482e+11,1.37255e+11,-1.2586e+11,1.30796e+11,1.17664e+06,3.0203e+11,3.70484e+11,1.60544e+11,6.68006e+10,2.83127e+11,5.28862e+12,3.12596e+12,2.80475e+09,1.1004e+12,5.71672e+11,6.10016e+11,3.02875e+09,1.81474e+12,4.52108e+12,1.95098e+12,2.13633e+12,2.43737e+11,1.06482e+11,1.37255e+11,4.00017e+12,4.98425e+10,4.02299e+12,5.00121e+10,3.05659e+11,6.15932e+12,3.10595e+11,1.56495e+11,1.37255e+11,1.64571e+09,9.05904e+08,2.80475e+09,2.80475e+09,2.80475e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZKUtil$waitForZKConnectionIfAuthenticating,66668,0,712,39,19,3335311360,51374,140735533354528,139742463623496,1,130,12510682,39433,0,106496,0,1.85412e+11,4.76828e+09,1.69746e+08,2.58191e+11,4.93803e+09,3.12949e+10,1.62461e+08,1.02088e+06,1.33056e+10,8.52906e+08,1.06519e+11,1.37302e+11,-1.25903e+11,1.30841e+11,1.17704e+06,3.02135e+11,3.70612e+11,1.60599e+11,6.68237e+10,2.83224e+11,5.29045e+12,3.12704e+12,2.80572e+09,1.10078e+12,5.7187e+11,6.10227e+11,3.0298e+09,1.81537e+12,4.52264e+12,1.95165e+12,2.13706e+12,2.43822e+11,1.06519e+11,1.37302e+11,4.00155e+12,4.98597e+10,4.02438e+12,5.00294e+10,3.05765e+11,6.16145e+12,3.10703e+11,1.56549e+11,1.37302e+11,1.64628e+09,9.06217e+08,2.80572e+09,2.80572e+09,2.80572e+09,0,0,0
ENTER-org/apache/hadoop/hbase/zookeeper/RecoverableZooKeeper$exists,66669,0,712,39,19,3335311360,51374,140735533354528,139742463623496,1,130,12511935,39433,0,106496,0,1.85476e+11,4.76993e+09,1.69805e+08,2.5828e+11,4.93973e+09,3.13057e+10,1.62517e+08,1.02123e+06,1.33102e+10,8.53201e+08,1.06556e+11,1.3735e+11,-1.25947e+11,1.30886e+11,1.17745e+06,3.02239e+11,3.7074e+11,1.60655e+11,6.68468e+10,2.83322e+11,5.29228e+12,3.12812e+12,2.80669e+09,1.10116e+12,5.72068e+11,6.10438e+11,3.03084e+09,1.81599e+12,4.5242e+12,1.95233e+12,2.1378e+12,2.43906e+11,1.06556e+11,1.3735e+11,4.00293e+12,4.98769e+10,4.02577e+12,5.00467e+10,3.0587e+11,6.16358e+12,3.1081e+11,1.56603e+11,1.3735e+11,1.64685e+09,9.0653e+08,2.80669e+09,2.80669e+09,2.80669e+09,0,0,0
ENTER-org/apache/hadoop/hbase/util/RetryCounterFactory$create,66672,0,712,39,19,3335311360,51374,140735533354528,139742463623496,1,130,12513188,39433,0,106496,0,1.8554e+11,4.77158e+09,1.69863e+08,2.5837e+11,4.94144e+09,3.13165e+10,1.62573e+08,1.02158e+06,1.33148e+10,8.53496e+08,1.06593e+11,1.37397e+11,-1.2599e+11,1.30932e+11,1.17786e+06,3.02344e+11,3.70868e+11,1.6071e+11,6.68699e+10,2.8342e+11,5.29411e+12,3.1292e+12,2.80766e+09,1.10155e+12,5.72265e+11,6.10649e+11,3.03189e+09,1.81662e+12,4.52577e+12,1.953e+12,2.13854e+12,2.4399e+11,1.06593e+11,1.37397e+11,4.00432e+12,4.98942e+10,4.02717e+12,5.0064e+10,3.05976e+11,6.16571e+12,3.10918e+11,1.56657e+11,1.37397e+11,1.64742e+09,9.06844e+08,2.80766e+09,2.80766e+09,2.80766e+09,0,0,0
EXIT-org/apache/hadoop/hbase/util/RetryCounterFactory$create,66701,0,712,39,19,3335311360,51430,140735533354528,139742463623496,1,130,12514441,39433,0,106496,0,1.85604e+11,4.77323e+09,1.69922e+08,2.58459e+11,4.94315e+09,3.13273e+10,1.6263e+08,1.02194e+06,1.33194e+10,8.53791e+08,1.0663e+11,1.37445e+11,-1.26034e+11,1.30977e+11,1.17826e+06,3.02448e+11,3.70996e+11,1.60766e+11,6.6893e+10,2.83518e+11,5.29594e+12,3.13028e+12,2.80863e+09,1.10193e+12,5.72463e+11,6.1086e+11,3.03294e+09,1.81725e+12,4.52733e+12,1.95368e+12,2.13928e+12,2.44075e+11,1.0663e+11,1.37445e+11,4.0057e+12,4.99114e+10,4.02856e+12,5.00813e+10,3.06082e+11,6.16784e+12,3.11025e+11,1.56711e+11,1.37445e+11,1.64799e+09,9.07157e+08,2.80863e+09,2.80863e+09,2.80863e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/RecoverableZooKeeper$exists,66703,0,712,39,19,3335311360,51430,140735533354528,139742463623496,1,130,12515815,39554,0,106496,0,1.85668e+11,4.77488e+09,1.69981e+08,2.58548e+11,4.94486e+09,3.13382e+10,1.62686e+08,1.02229e+06,1.3324e+10,8.54085e+08,1.06667e+11,1.37492e+11,-1.26077e+11,1.31022e+11,1.17867e+06,3.02553e+11,3.71124e+11,1.60821e+11,6.69161e+10,2.83616e+11,5.29777e+12,3.13136e+12,2.8096e+09,1.10231e+12,5.72661e+11,6.11071e+11,3.03399e+09,1.81788e+12,4.52889e+12,1.95435e+12,2.14002e+12,2.44159e+11,1.06667e+11,1.37492e+11,4.00708e+12,4.99287e+10,4.02995e+12,5.00986e+10,3.06188e+11,6.16997e+12,3.11132e+11,1.56765e+11,1.37492e+11,1.64856e+09,9.0747e+08,2.8096e+09,2.8096e+09,2.8096e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZKUtil$createAndFailSilent,66703,0,712,39,19,3335311360,51430,140735533354528,139742463623496,1,130,12517068,39554,0,106496,0,1.85732e+11,4.77652e+09,1.70039e+08,2.58637e+11,4.94656e+09,3.1349e+10,1.62742e+08,1.02264e+06,1.33286e+10,8.5438e+08,1.06703e+11,1.3754e+11,-1.26121e+11,1.31067e+11,1.17908e+06,3.02657e+11,3.71253e+11,1.60877e+11,6.69392e+10,2.83714e+11,5.2996e+12,3.13244e+12,2.81057e+09,1.10269e+12,5.72858e+11,6.11282e+11,3.03503e+09,1.81851e+12,4.53046e+12,1.95503e+12,2.14076e+12,2.44243e+11,1.06703e+11,1.3754e+11,4.00847e+12,4.99459e+10,4.03134e+12,5.01159e+10,3.06293e+11,6.1721e+12,3.1124e+11,1.56819e+11,1.3754e+11,1.64913e+09,9.07784e+08,2.81057e+09,2.81057e+09,2.81057e+09,0,0,0
EXIT-org/apache/hadoop/hbase/zookeeper/ZKUtil$createAndFailSilent,66703,0,712,39,19,3335311360,51430,140735533354528,139742463623496,1,130,12518321,39554,0,106496,0,1.85796e+11,4.77817e+09,1.70098e+08,2.58727e+11,4.94827e+09,3.13598e+10,1.62798e+08,1.02299e+06,1.33332e+10,8.54675e+08,1.0674e+11,1.37587e+11,-1.26164e+11,1.31113e+11,1.17949e+06,3.02762e+11,3.71381e+11,1.60932e+11,6.69623e+10,2.83812e+11,5.30142e+12,3.13352e+12,2.81154e+09,1.10307e+12,5.73056e+11,6.11493e+11,3.03608e+09,1.81913e+12,4.53202e+12,1.9557e+12,2.1415e+12,2.44328e+11,1.0674e+11,1.37587e+11,4.00985e+12,4.99631e+10,4.03273e+12,5.01332e+10,3.06399e+11,6.17423e+12,3.11347e+11,1.56874e+11,1.37587e+11,1.6497e+09,9.08097e+08,2.81154e+09,2.81154e+09,2.81154e+09,0,0,0
ENTER-org/apache/hadoop/hbase/zookeeper/ZKUtil$createAndFailSilent,66704,0,713,39,19,3335311360,51430,140735533354528,139742463623496,1,130,12519574,39554,0,106496,0,1.8586e+11,4.77982e+09,1.70157e+08,2.58816e+11,4.94998e+09,3.13706e+10,1.62854e+08,1.02335e+06,1.33378e+10,8.5497e+08,1.06777e+11,1.37635e+11,-1.26208e+11,1.31158e+11,1.17989e+06,3.02866e+11,3.71509e+11,1.60988e+11,6.69854e+10,2.8391e+11,5.30325e+12,3.13461e+12,2.81251e+09,1.10345e+12,5.73254e+11,6.11704e+11,3.03713e+09,1.81976e+12,4.53359e+12,1.95638e+12,2.14224e+12,2.44412e+11,1.06777e+11,1.37635e+11,4.01123e+12,4.99804e+10,4.03412e+12,5.01505e+10,3.06505e+11,6.17636e+12,3.11455e+11,1.56928e+11,1.37635e+11,1.65027e+09,9.0841e+08,2.81251e+09,2.81251e+09,2.81251e+09,0,0,0
