ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes,PAPI_L1_DCM,PAPI_L2_DCM,PAPI_L2_ICM,PAPI_L1_TCM,PAPI_L2_TCM,PAPI_CA_SHR,PAPI_CA_CLN,PAPI_CA_ITV,PAPI_TLB_DM,PAPI_TLB_IM,PAPI_L1_LDM,PAPI_L1_STM,PAPI_L2_LDM,PAPI_L2_STM,PAPI_HW_INT,PAPI_BR_CN,PAPI_BR_TKN,PAPI_BR_NTK,PAPI_BR_MSP,PAPI_BR_PRC,PAPI_TOT_IIS,PAPI_TOT_INS,PAPI_FP_INS,PAPI_LD_INS,PAPI_SR_INS,PAPI_BR_INS,PAPI_VEC_INS,PAPI_RES_STL,PAPI_TOT_CYC,PAPI_L1_DCH,PAPI_L1_DCA,PAPI_L2_DCA,PAPI_L2_DCR,PAPI_L2_DCW,PAPI_L1_ICH,PAPI_L2_ICH,PAPI_L1_ICA,PAPI_L2_ICA,PAPI_L2_TCH,PAPI_L1_TCA,PAPI_L2_TCA,PAPI_L2_TCR,PAPI_L2_TCW,PAPI_FML_INS,PAPI_FDV_INS,PAPI_FP_OPS,PAPI_SP_OPS,PAPI_DP_OPS,PAPI_VEC_SP,PAPI_VEC_DP,PAPI_REF_CYC
ENTER-org/apache/hadoop/dfs/FSNamesystem$now,27447,0,157,6,12,1254432768,17417,140736189309728,140177363927368,1,67,4305769,331,339968,45056,4096,6.28083e+08,1.50318e+07,1.03014e+06,6.93239e+08,1.60619e+07,6.55435e+07,627233,21993,4.1665e+07,3.84896e+06,4.58881e+08,3.72218e+08,-3.57561e+08,3.73623e+08,3624,1.20235e+09,1.24778e+09,5.8804e+08,1.97385e+08,1.13782e+09,1.81829e+10,1.07208e+10,1.16508e+07,3.53388e+09,1.78736e+09,2.13299e+09,1.9594e+07,5.02093e+09,1.45123e+10,6.84194e+09,7.47002e+09,8.31099e+08,4.58881e+08,3.72218e+08,1.24796e+10,1.34167e+08,1.25572e+10,1.35197e+08,8.41033e+08,2.00272e+10,8.57095e+08,5.94078e+08,3.72218e+08,4.76123e+06,1.19277e+06,1.16508e+07,1.16508e+07,1.16508e+07,0,0,0
EXIT-org/apache/hadoop/dfs/FSNamesystem$now,27447,0,157,6,12,1254432768,17417,140736189309728,140177363927368,1,67,4307017,331,339968,45056,4096,7.16794e+08,1.73255e+07,1.18889e+06,7.88396e+08,1.85144e+07,7.43282e+07,733650,24303,4.79235e+07,4.34867e+06,5.22995e+08,4.24831e+08,-4.07704e+08,4.26219e+08,4065,1.36113e+09,1.41462e+09,6.69421e+08,2.25717e+08,1.28805e+09,2.06786e+10,1.21455e+10,1.30859e+07,4.0115e+09,2.02768e+09,2.4137e+09,2.15895e+07,5.75512e+09,1.65171e+10,7.75237e+09,8.46917e+09,9.47826e+08,5.22995e+08,4.24831e+08,1.42084e+10,1.52004e+08,1.42964e+10,1.53193e+08,9.64699e+08,2.27655e+10,9.83214e+08,6.76189e+08,4.24831e+08,5.30766e+06,1.34485e+06,1.30859e+07,1.30859e+07,1.30859e+07,0,0,0
ENTER-org/apache/hadoop/dfs/FSImage$setStorageDirectories,27447,0,158,6,12,1254432768,17417,140736189309728,140177363927368,1,67,4308265,331,339968,45056,4096,8.05644e+08,1.9622e+07,1.34783e+06,8.83701e+08,2.09698e+07,8.31221e+07,840239,26616,5.41903e+07,4.84913e+06,5.8718e+08,4.77505e+08,-4.57912e+08,4.78881e+08,4507,1.52007e+09,1.58174e+09,7.5094e+08,2.54081e+08,1.43844e+09,2.3177e+10,1.35714e+10,1.45233e+07,4.48955e+09,2.26829e+09,2.69471e+09,2.35737e+07,6.49091e+09,1.85247e+10,8.66408e+09,9.46972e+09,1.06469e+09,5.8718e+08,4.77505e+08,1.59397e+10,1.69859e+08,1.6038e+10,1.71206e+08,1.08849e+09,2.55078e+10,1.10946e+09,7.58387e+08,4.77505e+08,5.85482e+06,1.49714e+06,1.45233e+07,1.45233e+07,1.45233e+07,0,0,0
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,27638,0,162,6,12,1254432768,17613,140736189309728,140177363927368,1,67,4326932,331,352256,45056,4096,8.95655e+08,2.19487e+07,1.50891e+06,9.80236e+08,2.34576e+07,9.2035e+07,948196,28960,6.05402e+07,5.35615e+06,6.52214e+08,5.3089e+08,-5.08785e+08,5.32242e+08,4955,1.68114e+09,1.75109e+09,8.33513e+08,2.82818e+08,1.59084e+09,2.57085e+10,1.50167e+10,1.59801e+07,4.97407e+09,2.51214e+09,2.9794e+09,2.54472e+07,7.24314e+09,2.05645e+10,9.57993e+09,1.04756e+10,1.1831e+09,6.52214e+08,5.3089e+08,1.76906e+10,1.87951e+08,1.77995e+10,1.8946e+08,1.21392e+09,2.82751e+10,1.23737e+09,8.41674e+08,5.3089e+08,6.40913e+06,1.65144e+06,1.59801e+07,1.59801e+07,1.59801e+07,0,0,0
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,27638,0,162,6,12,1254432768,17613,140736189309728,140177363927368,1,67,4328180,331,352256,45056,4096,9.85805e+08,2.42796e+07,1.67017e+06,1.07692e+09,2.59497e+07,1.00962e+08,1.05632e+06,31307,6.68983e+07,5.86393e+06,7.17353e+08,5.84336e+08,-5.5972e+08,5.8567e+08,5403,1.84246e+09,1.92062e+09,9.16223e+08,3.11601e+08,1.74348e+09,2.8244e+10,1.64643e+10,1.7438e+07,5.45903e+09,2.75629e+09,3.26456e+09,2.73231e+07,7.99622e+09,2.26063e+10,1.0495e+10,1.14808e+10,1.30169e+09,7.17353e+08,5.84336e+08,1.94399e+10,2.0607e+08,1.95593e+10,2.0774e+08,1.33953e+09,3.10402e+10,1.36547e+09,9.25093e+08,5.84336e+08,6.96418e+06,1.80594e+06,1.7438e+07,1.7438e+07,1.7438e+07,0,0,0
ENTER-org/apache/hadoop/dfs/Storage$addStorageDir,27638,0,162,6,12,1254432768,17613,140736189309728,140177363927368,1,67,4329428,331,352256,45056,4096,1.07605e+09,2.66132e+07,1.8316e+06,1.17375e+09,2.84448e+07,1.09897e+08,1.16457e+06,33657,7.32648e+07,6.37222e+06,7.82564e+08,6.37844e+08,-6.10719e+08,6.39164e+08,5852,2.00395e+09,2.09034e+09,9.99025e+08,3.40416e+08,1.89629e+09,3.07823e+10,1.79131e+10,1.88984e+07,5.94485e+09,3.00073e+09,3.55002e+09,2.92012e+07,8.75014e+09,2.46513e+10,1.1411e+10,1.24871e+10,1.42041e+09,7.82564e+08,6.37844e+08,2.11892e+10,2.24214e+08,2.13193e+10,2.26045e+08,1.46532e+09,3.38063e+10,1.49376e+09,1.00861e+09,6.37844e+08,7.51997e+06,1.96066e+06,1.88984e+07,1.88984e+07,1.88984e+07,0,0,0
EXIT-org/apache/hadoop/dfs/Storage$addStorageDir,27638,0,162,6,12,1254432768,17613,140736189309728,140177363927368,1,67,4330676,331,352256,45056,4096,1.16643e+09,2.89496e+07,1.99322e+06,1.27068e+09,3.09429e+07,1.18842e+08,1.27298e+06,36011,7.96355e+07,6.88126e+06,8.47845e+08,6.91445e+08,-6.61781e+08,6.92724e+08,6301,2.16569e+09,2.26034e+09,1.08192e+09,3.69262e+08,2.04933e+09,3.33233e+10,1.93644e+10,2.036e+07,6.4311e+09,3.24546e+09,3.83594e+09,3.10817e+07,9.50532e+09,2.66983e+10,1.2328e+10,1.34944e+10,1.53929e+09,8.47845e+08,6.91445e+08,2.29392e+10,2.42375e+08,2.30799e+10,2.44368e+08,1.59123e+09,3.65743e+10,1.62217e+09,1.09221e+09,6.91445e+08,8.0765e+06,2.11554e+06,2.036e+07,2.036e+07,2.036e+07,0,0,0
EXIT-org/apache/hadoop/dfs/FSImage$setStorageDirectories,27638,0,162,6,12,1254432768,17613,140736189309728,140177363927368,1,67,4331924,331,352256,45056,4096,1.25691e+09,3.12887e+07,2.1551e+06,1.36776e+09,3.34438e+07,1.27801e+08,1.38151e+06,38368,8.60144e+07,7.3908e+06,9.13232e+08,7.45107e+08,-7.12907e+08,7.46351e+08,6751,2.32761e+09,2.43053e+09,1.16495e+09,3.98154e+08,2.20253e+09,3.58685e+10,2.08169e+10,2.1824e+07,6.91822e+09,3.49048e+09,4.12218e+09,3.29644e+07,1.02613e+10,2.87483e+10,1.32459e+10,1.45028e+10,1.65834e+09,9.13232e+08,7.45107e+08,2.46879e+10,2.60561e+08,2.48391e+10,2.62716e+08,1.71733e+09,3.9342e+10,1.75077e+09,1.17595e+09,7.45107e+08,8.63376e+06,2.27064e+06,2.1824e+07,2.1824e+07,2.1824e+07,0,0,0
ENTER-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,28046,0,167,7,12,1254432768,18045,140736189309728,140177363927368,1,67,4410243,331,393216,45056,4096,1.35068e+09,3.3713e+07,2.32288e+06,1.46833e+09,3.60359e+07,1.37085e+08,1.49397e+06,40810,9.26259e+07,7.91901e+06,9.80989e+08,8.00715e+08,-7.65903e+08,8.01939e+08,7217,2.49538e+09,2.60685e+09,1.25096e+09,4.28089e+08,2.36128e+09,3.85057e+10,2.23225e+10,2.3341e+07,7.42261e+09,3.74447e+09,4.41885e+09,3.49156e+07,1.10447e+10,3.08722e+10,1.41969e+10,1.55476e+10,1.7817e+09,9.80989e+08,8.00715e+08,2.65003e+10,2.79855e+08,2.66625e+10,2.82178e+08,1.84697e+09,4.22101e+10,1.88301e+09,1.26317e+09,8.00715e+08,9.30716e+06,2.4368e+06,2.3341e+07,2.3341e+07,2.3341e+07,0,0,0
EXIT-org/apache/hadoop/dfs/FSNamesystem$setConfigurationParameters,28575,0,177,7,13,1389871104,18490,140736189309728,140177363927368,1,67,4604930,391,483328,45056,4096,1.4376e+09,3.64636e+07,2.5142e+06,1.57115e+09,3.89778e+07,1.46838e+08,1.61054e+06,43341,9.94783e+07,8.46639e+06,1.05119e+09,8.58329e+08,-8.20578e+08,8.59556e+08,7700,2.66927e+09,2.78968e+09,1.34013e+09,4.59113e+08,2.52581e+09,4.12392e+10,2.38824e+10,2.49135e+07,7.94557e+09,4.00772e+09,4.72627e+09,3.69376e+07,1.18566e+10,3.30739e+10,1.51929e+10,1.66305e+10,1.90951e+09,1.05119e+09,8.58329e+08,2.83789e+10,2.99838e+08,2.85523e+10,3.02352e+08,1.98107e+09,4.51828e+10,2.02005e+09,1.35354e+09,8.58329e+08,1.0005e+07,2.60902e+06,2.49135e+07,2.49135e+07,2.49135e+07,0,0,0
