ID,minflt,majflt,utime,stime,num_threads,vsize,rss,startstack,kstkeip,processor,num_file_desc,rchar,wchar,read_bytes,write_bytes,cancelled_write_bytes
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,27282,0,156,8,12,1349271552,23379,140736256070976,140246638600520,1,29,3972391,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27292,0,156,8,12,1349271552,23445,140736256070976,140246638600520,1,29,3972766,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27877,0,156,9,12,1349271552,23971,140736256070976,140246638600520,1,29,3973141,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,27879,0,156,9,12,1349271552,23971,140736256070976,140246638600520,1,29,3973516,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,27892,0,156,9,12,1349271552,23971,140736256070976,140246638600520,1,29,3973891,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$getUserSerialNumber,27892,0,157,9,12,1349271552,23971,140736256070976,140246638600520,1,29,3974266,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$updatePermissionStatus,27969,0,158,9,12,1349271552,24037,140736256070976,140246638600520,1,29,3978103,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28172,0,159,9,12,1349271552,24235,140736256070976,140246638600520,1,29,3978478,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28183,0,160,9,12,1349271552,24301,140736256070976,140246638600520,1,29,3978853,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$updatePermissionStatus,28183,0,160,9,12,1349271552,24301,140736256070976,140246638600520,1,29,3979228,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$setUser,28192,0,160,9,12,1349271552,24301,140736256070976,140246638600520,1,29,3979603,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$setGroup,28198,0,160,9,12,1349271552,24301,140736256070976,140246638600520,1,29,3979978,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$getGroupSerialNumber,28210,0,160,9,12,1349271552,24301,140736256070976,140246638600520,1,29,3980353,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,28233,0,160,9,12,1349271552,24301,140736256070976,140246638600520,1,29,3980728,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,28241,0,160,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3981103,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$nextSerialNumber,28241,0,160,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3981478,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$SerialNumberMap$get,28250,0,160,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3981853,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/SerialNumberManager$getGroupSerialNumber,28255,0,160,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3982228,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$updatePermissionStatus,28265,0,160,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3982603,360,503808,45056,4096
ENTER-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28268,0,161,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3982978,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$PermissionStatusFormat$combine,28295,0,161,9,12,1349271552,24367,140736256070976,140246638600520,1,29,3983353,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$updatePermissionStatus,28307,0,161,9,12,1349271552,24433,140736256070976,140246638600520,1,29,3983728,360,503808,45056,4096
EXIT-org/apache/hadoop/dfs/INode$setGroup,28307,0,161,9,12,1349271552,24433,140736256070976,140246638600520,1,29,3984103,360,503808,45056,4096
